1,Waneta Williams,Waneta_Williams@yahoo.com,0455411568
2,Angela Bueti,Angela_Bueti@gmail.ca,8541580818
3,Deshawn Teegarden,Deshawn_Teegarden@gmail.ca,8854102035
4,Joseph Carlson,Joseph.Carlson@gmail.com,7491437723
5,Marcie Cook,Marcie_Cook@yahoo.com,4064847704
6,George Beyers,George.Beyers@yahoo.ca,4323650178
7,David Oliver,David_Oliver@yahoo.com,8166500513
8,Kimberly Camacho,Kimberly_Camacho@yahoo.com,2171447580
9,Michael Byun,Michael_Byun@yahoo.ca,4022844851
10,Mark Manley,Mark_Manley@yahoo.ca,8626819173
11,Hazel Keller,Hazel.Keller@custom_domain.ca,1704595668
12,Susan Montano,Susan_Montano@yahoo.ca,1572912448
13,Audrey Mcquaid,Audrey.Mcquaid@yahoo.ca,4916014920
14,Janice Buzzelli,Janice.Buzzelli@yahoo.com,5491580511
15,Ricky Hein,Ricky.Hein@gmail.com,1650553405
16,James Esperon,James_Esperon@gmail.ca,0262617435
17,Dan Cross,Dan_Cross@gmail.ca,5352645971
18,Carolyn Morgen,Carolyn.Morgen@gmail.com,5371470720
19,Gilberto Thomas,Gilberto.Thomas@gmail.ca,6359131686
20,Esther Floyd,Esther.Floyd@custom_domain.ca,0090979841
